Search,ID,Name,City,RoomAndPropertyType,RoomType,RoomTypeCategory,SpaceType,Link,Nightly Cost,Total Cost,BathroomLabel,Bathrooms,BedLabel,BedroomLabel,Bedrooms,Beds,ApproxLat,ApproxLong,Lockbox,Heating,Air Conditioning,Free Parking on Premises,Free Street Parking,Wireless Internet
Melbourne City,8894468,2BR APT #Perfect Location# & CityView,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/8894468?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,153.00,755.94,1 bath,1.000000,4 beds,2 bedrooms,2,4,-37.809570,144.963300,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,10125065,Breathtaking Views Apt In Melb CBD,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/10125065?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,145.00,736.53,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.818367,144.955429,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,2243932,City Room with your own bathroom!,Melbourne,Private room in apartment,Private room,private_room,Private room,https://www.airbnb.com.au/rooms/2243932?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,75.00,359.70,1 private bath,1.000000,1 bed,1 bedroom,1,1,-37.812610,144.954320,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Melbourne City,9049524,5 stars luxury Melbourne CBD  Apt,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/9049524?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,134.00,679.44,1 bath,1.000000,1 bed,1 bedroom,1,1,-37.814404,144.957520,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,18721221,"Free WiFi+Five Star ""Little Swiss Room"" in Mel CBD",Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/18721221?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,126.25,662.30,1 bath,1.000000,1 bed,1 bedroom,1,1,-37.810410,144.958430,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,18385179,Melbourne CBD Chic New York Style Loft with Free Parking,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/18385179?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,204.00,1022.01,1 bath,1.000000,2 beds,2 bedrooms,2,2,-37.808128,144.961823,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Melbourne City,8513168,The skyhigh studio in Melbourne CBD + fireworks,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/8513168?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,109.00,542.41,1 bath,1.000000,2 beds,Studio,0,2,-37.815369,144.952682,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,3566505,Bright Apartment  in Prime Location,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/3566505?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,129.00,640.61,1 bath,1.000000,1 bed,1 bedroom,1,1,-37.810030,144.967820,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,16357437,Park & Sunrise Views - same floor as Rooftop Pool!,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/16357437?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,119.00,599.50,1 bath,1.000000,1 bed,Studio,0,1,-37.813950,144.952072,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Melbourne City,6021753,Urban Studio in Melbourne CBD,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/6021753?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,121.50,633.76,1 bath,1.000000,2 beds,Studio,0,2,-37.816060,144.952140,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,5307603,Homely on Spencer in Melbourne CBD,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/5307603?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,131.50,679.44,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.814920,144.953880,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,5952338,Luxury views 1BD apt Heart of Melb,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/5952338?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,159.00,800.47,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.815735,144.952911,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,12419310,Comfy Studio Apartment in the CBD,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/12419310?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,110.00,536.69,1 bath,1.000000,1 bed,Studio,0,1,-37.809260,144.957730,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,16296765,2 Bedroom modern apartment in CBD,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/16296765?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,154.00,743.38,1 bath,1.000000,2 beds,2 bedrooms,2,2,-37.809628,144.959610,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,7426490,Spacious Warehouse Apartment on Flinders Lane.,Melbourne,Private room in loft,Private room,private_room,Private room,https://www.airbnb.com.au/rooms/7426490?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,90.00,445.34,1 private bath,1.000000,1 bed,1 bedroom,1,1,-37.816105,144.968323,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Melbourne City,19103787,180° The best of Melbourne city & Sea view,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/19103787?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,171.00,821.94,1 bath,1.000000,1 bed,1 bedroom,1,1,-37.811220,144.961440,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,18297562,"COZY CBD Apartment, STUNNING VIEWS + FREE PARKING",Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/18297562?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,156.50,805.05,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.815582,144.953079,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Melbourne City,13585021,"Central CBD Studio!Furnished,free tram, opp skybus",Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/13585021?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,147.50,673.72,1 bath,1.000000,2 beds,Studio,0,2,-37.815360,144.952270,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,3272235,Absolute Melbourne Center Apartment,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/3272235?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,88.75,451.06,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.811060,144.964550,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Melbourne City,21618507,Cozy Modern Apartment Melb City/ Vic Market,Melbourne,Entire condominium,Entire home/apt,entire_home,Entire condominium,https://www.airbnb.com.au/rooms/21618507?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,114.50,522.99,1 bath,1.000000,1 bed,Studio,0,1,-37.805700,144.959170,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,13627321,"Sunny, Modern Apartment with Cityscape Views",Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/13627321?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,261.50,1262.94,1 bath,1.000000,2 beds,2 bedrooms,2,2,-37.818359,144.955368,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Melbourne City,21270374,Delux Skyhigh2bedder heart of CBD*WiFi*Free Parkin,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/21270374?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,164.00,827.88,1 bath,1.000000,2 beds,2 bedrooms,2,2,-37.807270,144.960300,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Melbourne City,19755790,Central of Melbourne-Gym+SwimmingPool+SmartTV,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/19755790?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,145.00,741.09,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.814423,144.957565,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
